operaciones_ult_12m;gastos_ult_12m;limite_credito_tc;antiguedad_cliente;tasa_interes;ingresos;pct_ingreso;antiguedad_empleado;edad;estado_credito_N;estado_civil_N;importe_solicitado;duracion_credito;situacion_vivienda;objetivo_credito;falta_pago;estado_cliente;genero;personas_a_cargo
30_to_50;1k_to_4k;<3k;25y_to_50y;12p_to_18p;20k_to_50k;<20;<5;<25;Activo;C;3000;2;ALQUILER;SALUD;Y;ACTIVO;F;3
50_to_75;1k_to_4k;5k_to_10k;<25y;12p_to_18p;20k_to_50k;<20;5_to_10;<25;Activo;S;1000;4;ALQUILER;PERSONAL;Y;ACTIVO;F;1
30_to_50;1k_to_4k;5k_to_10k;25y_to_50y;6p_to_12p;20k_to_50k;40_to_60;<5;<25;Activo;C;13300;4;ALQUILER;PAGO_DEUDAS;N;ACTIVO;M;4
>74;4k_to_6k;5k_to_10k;25y_to_50y;6p_to_12p;20k_to_50k;<20;<5;<25;Activo;C;6400;3;ALQUILER;SALUD;N;ACTIVO;F;1
15_to_30;1k_to_4k;>10k;25y_to_50y;6p_to_12p;50k_to_100k;20_to_40;<5;<25;Activo;C;20000;4;ALQUILER;INVERSIONES;N;ACTIVO;F;2
50_to_75;4k_to_6k;<3k;25y_to_50y;6p_to_12p;20k_to_50k;<20;5_to_10;<25;Cancelado;C;4400;4;ALQUILER;PERSONAL;N;ACTIVO;F;0
30_to_50;1k_to_4k;3k_to_5k;<25y;12p_to_18p;20k_to_50k;40_to_60;<5;<25;Activo;S;13000;3;ALQUILER;INVERSIONES;Y;ACTIVO;M;0
30_to_50;1k_to_4k;<3k;25y_to_50y;12p_to_18p;50k_to_100k;<20;5_to_10;<25;Activo;S;6300;2;ALQUILER;SALUD;Y;PASIVO;M;1
30_to_50;1k_to_4k;<3k;25y_to_50y;12p_to_18p;20k_to_50k;20_to_40;<5;<25;Activo;S;7500;2;ALQUILER;PERSONAL;Y;PASIVO;F;3
30_to_50;1k_to_4k;>10k;25y_to_50y;<6p;50k_to_100k;<20;<5;<25;Cancelado;S;3000;2;ALQUILER;EDUCACIÓN;N;ACTIVO;M;4
50_to_75;1k_to_4k;>10k;25y_to_50y;6p_to_12p;50k_to_100k;<20;<5;<25;Cancelado;N;3700;4;ALQUILER;EDUCACIÓN;N;ACTIVO;M;2
50_to_75;6k_to_8k;>10k;25y_to_50y;12p_to_18p;50k_to_100k;20_to_40;5_to_10;<25;Cancelado;N;15000;4;PROPIA;EDUCACIÓN;Y;PASIVO;M;2
50_to_75;4k_to_6k;<3k;<25y;12p_to_18p;20k_to_50k;20_to_40;5_to_10;<25;Cancelado;S;5200;2;ALQUILER;SALUD;N;ACTIVO;F;5
>74;4k_to_6k;<3k;25y_to_50y;<6p;20k_to_50k;<20;<5;25_to_30;Cancelado;C;4800;2;ALQUILER;SALUD;N;ACTIVO;F;1
>74;4k_to_6k;<3k;25y_to_50y;12p_to_18p;50k_to_100k;20_to_40;<5;<25;Activo;S;19200;4;HIPOTECA;PAGO_DEUDAS;N;ACTIVO;F;3
30_to_50;1k_to_4k;<3k;25y_to_50y;6p_to_12p;50k_to_100k;<20;5_to_10;<25;Cancelado;S;1800;4;ALQUILER;EDUCACIÓN;N;ACTIVO;M;1
50_to_75;1k_to_4k;<3k;25y_to_50y;6p_to_12p;<20k;20_to_40;<5;<25;Activo;S;4000;2;ALQUILER;PAGO_DEUDAS;Y;ACTIVO;F;3
30_to_50;1k_to_4k;<3k;<25y;6p_to_12p;20k_to_50k;20_to_40;<5;<25;Cancelado;C;7000;2;HIPOTECA;PAGO_DEUDAS;N;ACTIVO;F;3
30_to_50;1k_to_4k;3k_to_5k;25y_to_50y;12p_to_18p;50k_to_100k;20_to_40;<5;25_to_30;Activo;C;16000;4;ALQUILER;INVERSIONES;N;ACTIVO;F;1
30_to_50;1k_to_4k;>10k;25y_to_50y;12p_to_18p;>100k;20_to_40;5_to_10;<25;Cancelado;C;23750;2;ALQUILER;SALUD;N;ACTIVO;M;2
>74;6k_to_8k;5k_to_10k;25y_to_50y;12p_to_18p;20k_to_50k;20_to_40;5_to_10;<25;Activo;D;8000;2;ALQUILER;MEJORAS_HOGAR;N;ACTIVO;M;3
50_to_75;4k_to_6k;5k_to_10k;25y_to_50y;12p_to_18p;50k_to_100k;<20;>10;25_to_30;Cancelado;S;9000;3;ALQUILER;EDUCACIÓN;N;ACTIVO;M;2
>74;4k_to_6k;<3k;25y_to_50y;6p_to_12p;>100k;<20;<5;25_to_30;Cancelado;C;5800;3;ALQUILER;PAGO_DEUDAS;N;ACTIVO;F;2
30_to_50;1k_to_4k;>10k;25y_to_50y;12p_to_18p;20k_to_50k;<20;<5;<25;Activo;C;5000;2;ALQUILER;SALUD;Y;PASIVO;F;3
50_to_75;4k_to_6k;<3k;25y_to_50y;6p_to_12p;>100k;<20;5_to_10;25_to_30;Activo;S;7750;4;ALQUILER;PERSONAL;N;ACTIVO;M;0
>74;4k_to_6k;>10k;25y_to_50y;6p_to_12p;20k_to_50k;40_to_60;5_to_10;<25;Cancelado;C;18000;2;HIPOTECA;SALUD;N;ACTIVO;M;4
>74;>10k;>10k;25y_to_50y;6p_to_12p;50k_to_100k;<20;5_to_10;<25;Cancelado;C;8000;4;ALQUILER;SALUD;N;ACTIVO;M;1
50_to_75;6k_to_8k;3k_to_5k;25y_to_50y;6p_to_12p;50k_to_100k;40_to_60;<5;<25;Activo;C;22750;2;HIPOTECA;PAGO_DEUDAS;Y;PASIVO;F;2
50_to_75;1k_to_4k;>10k;<25y;12p_to_18p;20k_to_50k;<20;<5;<25;Cancelado;D;6000;4;HIPOTECA;MEJORAS_HOGAR;N;ACTIVO;M;1
50_to_75;4k_to_6k;<3k;25y_to_50y;6p_to_12p;50k_to_100k;<20;<5;<25;Cancelado;D;5500;4;ALQUILER;EDUCACIÓN;N;ACTIVO;F;2
30_to_50;1k_to_4k;3k_to_5k;25y_to_50y;12p_to_18p;<20k;20_to_40;<5;<25;Activo;C;2800;2;ALQUILER;PERSONAL;Y;ACTIVO;F;3
15_to_30;<1k;<3k;25y_to_50y;6p_to_12p;<20k;<20;5_to_10;<25;Activo;S;3375;2;PROPIA;INVERSIONES;N;PASIVO;F;3
>74;1k_to_4k;5k_to_10k;25y_to_50y;12p_to_18p;50k_to_100k;<20;<5;<25;Activo;S;1500;4;ALQUILER;MEJORAS_HOGAR;Y;ACTIVO;M;1
50_to_75;1k_to_4k;>10k;25y_to_50y;6p_to_12p;20k_to_50k;<20;<5;<25;Cancelado;C;2400;4;ALQUILER;SALUD;N;ACTIVO;M;3
50_to_75;1k_to_4k;<3k;25y_to_50y;6p_to_12p;20k_to_50k;<20;<5;<25;Cancelado;C;6000;3;ALQUILER;EDUCACIÓN;N;ACTIVO;F;2
>74;>10k;>10k;25y_to_50y;6p_to_12p;20k_to_50k;<20;5_to_10;<25;Cancelado;C;9000;3;ALQUILER;PERSONAL;N;ACTIVO;M;3
>74;>10k;>10k;25y_to_50y;6p_to_12p;50k_to_100k;<20;5_to_10;<25;Cancelado;N;7200;3;HIPOTECA;EDUCACIÓN;N;ACTIVO;M;4
30_to_50;1k_to_4k;3k_to_5k;25y_to_50y;6p_to_12p;20k_to_50k;<20;<5;<25;Cancelado;C;3000;2;HIPOTECA;EDUCACIÓN;N;ACTIVO;F;1
50_to_75;4k_to_6k;5k_to_10k;>50y;6p_to_12p;>100k;<20;5_to_10;<25;Cancelado;S;9000;3;ALQUILER;EDUCACIÓN;N;ACTIVO;M;0
>74;4k_to_6k;5k_to_10k;25y_to_50y;6p_to_12p;50k_to_100k;<20;<5;<25;Cancelado;S;3000;3;HIPOTECA;PERSONAL;N;ACTIVO;F;1
>74;4k_to_6k;<3k;25y_to_50y;12p_to_18p;50k_to_100k;<20;<5;<25;Cancelado;S;6000;3;ALQUILER;INVERSIONES;N;ACTIVO;F;4
50_to_75;1k_to_4k;3k_to_5k;25y_to_50y;6p_to_12p;20k_to_50k;<20;<5;25_to_30;Cancelado;S;3500;4;ALQUILER;INVERSIONES;N;ACTIVO;M;1
>74;4k_to_6k;<3k;25y_to_50y;6p_to_12p;<20k;20_to_40;<5;25_to_30;Activo;S;5500;2;ALQUILER;PERSONAL;N;ACTIVO;F;5
30_to_50;1k_to_4k;<3k;25y_to_50y;6p_to_12p;20k_to_50k;<20;5_to_10;25_to_30;Cancelado;S;7200;3;ALQUILER;PAGO_DEUDAS;Y;PASIVO;F;2
50_to_75;1k_to_4k;5k_to_10k;25y_to_50y;6p_to_12p;50k_to_100k;20_to_40;<5;<25;Activo;C;18000;4;ALQUILER;PAGO_DEUDAS;N;ACTIVO;F;0
>74;4k_to_6k;<3k;25y_to_50y;6p_to_12p;50k_to_100k;<20;<5;25_to_30;Cancelado;D;8500;4;ALQUILER;EDUCACIÓN;N;ACTIVO;F;3
50_to_75;1k_to_4k;>10k;25y_to_50y;6p_to_12p;20k_to_50k;<20;<5;<25;Cancelado;S;5000;4;HIPOTECA;EDUCACIÓN;N;ACTIVO;M;3
50_to_75;1k_to_4k;<3k;25y_to_50y;6p_to_12p;<20k;40_to_60;<5;25_to_30;Activo;S;8875;4;ALQUILER;MEJORAS_HOGAR;N;ACTIVO;M;5
>74;1k_to_4k;>10k;25y_to_50y;6p_to_12p;50k_to_100k;<20;5_to_10;25_to_30;Cancelado;D;8000;3;PROPIA;MEJORAS_HOGAR;N;ACTIVO;M;3
30_to_50;1k_to_4k;<3k;25y_to_50y;6p_to_12p;20k_to_50k;20_to_40;<5;25_to_30;Cancelado;C;7000;3;ALQUILER;PERSONAL;N;PASIVO;F;3
>74;1k_to_4k;<3k;25y_to_50y;6p_to_12p;20k_to_50k;<20;5_to_10;<25;Cancelado;C;4000;2;HIPOTECA;INVERSIONES;N;ACTIVO;F;2
>74;>10k;5k_to_10k;25y_to_50y;6p_to_12p;50k_to_100k;<20;5_to_10;<25;Cancelado;S;10000;4;HIPOTECA;SALUD;N;ACTIVO;M;4
>74;4k_to_6k;>10k;25y_to_50y;6p_to_12p;50k_to_100k;<20;<5;<25;Cancelado;S;6000;4;ALQUILER;MEJORAS_HOGAR;N;ACTIVO;M;2
15_to_30;<1k;5k_to_10k;25y_to_50y;12p_to_18p;50k_to_100k;20_to_40;<5;25_to_30;Activo;N;24250;3;ALQUILER;MEJORAS_HOGAR;Y;PASIVO;M;4
>74;1k_to_4k;>10k;25y_to_50y;6p_to_12p;20k_to_50k;<20;<5;<25;Cancelado;C;5000;3;ALQUILER;PERSONAL;N;ACTIVO;F;3
>74;4k_to_6k;3k_to_5k;<25y;6p_to_12p;50k_to_100k;40_to_60;5_to_10;<25;Cancelado;N;21000;4;HIPOTECA;INVERSIONES;N;ACTIVO;F;2
50_to_75;1k_to_4k;>10k;25y_to_50y;12p_to_18p;20k_to_50k;<20;5_to_10;25_to_30;Cancelado;S;2500;4;ALQUILER;SALUD;N;ACTIVO;M;2
15_to_30;1k_to_4k;3k_to_5k;>50y;6p_to_12p;20k_to_50k;<20;<5;<25;Cancelado;C;1400;4;HIPOTECA;PAGO_DEUDAS;N;ACTIVO;F;0
15_to_30;1k_to_4k;>10k;25y_to_50y;6p_to_12p;<20k;20_to_40;<5;<25;Activo;S;4950;4;PROPIA;PAGO_DEUDAS;N;ACTIVO;F;3
30_to_50;1k_to_4k;5k_to_10k;25y_to_50y;12p_to_18p;50k_to_100k;<20;<5;25_to_30;Cancelado;C;4800;2;HIPOTECA;MEJORAS_HOGAR;Y;PASIVO;F;3
15_to_30;<1k;5k_to_10k;>50y;12p_to_18p;50k_to_100k;40_to_60;5_to_10;<25;Activo;C;30000;3;ALQUILER;PAGO_DEUDAS;Y;PASIVO;F;0
>74;8k_to_10k;>10k;25y_to_50y;12p_to_18p;50k_to_100k;<20;5_to_10;<25;Cancelado;C;2400;2;HIPOTECA;EDUCACIÓN;Y;PASIVO;M;2
>74;4k_to_6k;<3k;25y_to_50y;6p_to_12p;50k_to_100k;<20;5_to_10;25_to_30;Cancelado;C;4200;3;PROPIA;MEJORAS_HOGAR;N;ACTIVO;F;2
>74;4k_to_6k;3k_to_5k;25y_to_50y;6p_to_12p;50k_to_100k;<20;>10;25_to_30;Cancelado;C;10000;2;HIPOTECA;INVERSIONES;N;ACTIVO;M;2
30_to_50;1k_to_4k;<3k;25y_to_50y;12p_to_18p;50k_to_100k;20_to_40;5_to_10;<25;Cancelado;C;20000;2;ALQUILER;INVERSIONES;Y;ACTIVO;M;3
30_to_50;1k_to_4k;5k_to_10k;25y_to_50y;6p_to_12p;50k_to_100k;<20;5_to_10;<25;Cancelado;C;3350;3;ALQUILER;PERSONAL;N;ACTIVO;F;2
15_to_30;1k_to_4k;>10k;25y_to_50y;12p_to_18p;50k_to_100k;<20;5_to_10;<25;Cancelado;S;6000;4;HIPOTECA;MEJORAS_HOGAR;Y;PASIVO;F;1
50_to_75;8k_to_10k;3k_to_5k;<25y;12p_to_18p;50k_to_100k;<20;<5;25_to_30;Cancelado;S;7500;3;HIPOTECA;PAGO_DEUDAS;Y;PASIVO;M;3
30_to_50;1k_to_4k;<3k;25y_to_50y;12p_to_18p;20k_to_50k;<20;5_to_10;<25;Activo;C;6500;2;HIPOTECA;SALUD;Y;PASIVO;F;3
50_to_75;4k_to_6k;<3k;25y_to_50y;6p_to_12p;20k_to_50k;<20;<5;<25;Cancelado;S;7375;4;HIPOTECA;EDUCACIÓN;N;ACTIVO;F;4
<15;<1k;5k_to_10k;25y_to_50y;12p_to_18p;50k_to_100k;20_to_40;<5;<25;Activo;C;25000;2;ALQUILER;PAGO_DEUDAS;Y;PASIVO;M;3
50_to_75;1k_to_4k;>10k;25y_to_50y;12p_to_18p;20k_to_50k;<20;<5;<25;Activo;D;2400;3;ALQUILER;MEJORAS_HOGAR;N;ACTIVO;F;2
>74;>10k;3k_to_5k;25y_to_50y;6p_to_12p;>100k;<20;<5;25_to_30;Cancelado;C;8000;3;ALQUILER;SALUD;N;ACTIVO;M;2
50_to_75;1k_to_4k;5k_to_10k;25y_to_50y;6p_to_12p;20k_to_50k;<20;5_to_10;25_to_30;Cancelado;D;3000;4;HIPOTECA;MEJORAS_HOGAR;N;ACTIVO;F;3
50_to_75;1k_to_4k;>10k;25y_to_50y;6p_to_12p;20k_to_50k;<20;<5;25_to_30;Cancelado;S;4000;3;HIPOTECA;PAGO_DEUDAS;N;ACTIVO;M;2
>74;1k_to_4k;3k_to_5k;25y_to_50y;6p_to_12p;20k_to_50k;20_to_40;<5;<25;Cancelado;S;15000;4;HIPOTECA;SALUD;N;ACTIVO;F;1
50_to_75;8k_to_10k;5k_to_10k;25y_to_50y;6p_to_12p;20k_to_50k;20_to_40;<5;<25;Activo;C;9000;2;ALQUILER;SALUD;N;PASIVO;M;4
>74;4k_to_6k;<3k;<25y;6p_to_12p;20k_to_50k;<20;5_to_10;25_to_30;Cancelado;D;7000;3;ALQUILER;SALUD;N;ACTIVO;F;1
30_to_50;1k_to_4k;<3k;25y_to_50y;6p_to_12p;>100k;<20;<5;25_to_30;Cancelado;C;17950;2;ALQUILER;PERSONAL;N;ACTIVO;F;3
30_to_50;1k_to_4k;<3k;25y_to_50y;12p_to_18p;20k_to_50k;<20;<5;<25;Cancelado;C;1400;4;ALQUILER;SALUD;Y;ACTIVO;F;4
>74;8k_to_10k;>10k;25y_to_50y;12p_to_18p;>100k;<20;<5;<25;Cancelado;S;8000;3;ALQUILER;PERSONAL;N;PASIVO;M;2
50_to_75;1k_to_4k;>10k;25y_to_50y;12p_to_18p;20k_to_50k;<20;<5;<25;Cancelado;C;3600;4;ALQUILER;EDUCACIÓN;N;ACTIVO;F;4
50_to_75;1k_to_4k;<3k;25y_to_50y;6p_to_12p;20k_to_50k;<20;5_to_10;<25;Activo;S;7000;4;HIPOTECA;PAGO_DEUDAS;N;ACTIVO;F;3
30_to_50;1k_to_4k;>10k;25y_to_50y;6p_to_12p;50k_to_100k;20_to_40;5_to_10;<25;Cancelado;C;18000;3;ALQUILER;EDUCACIÓN;N;ACTIVO;M;2
>74;4k_to_6k;<3k;25y_to_50y;6p_to_12p;50k_to_100k;<20;5_to_10;25_to_30;Cancelado;S;5000;3;ALQUILER;MEJORAS_HOGAR;N;ACTIVO;M;1
>74;1k_to_4k;>10k;25y_to_50y;12p_to_18p;20k_to_50k;<20;<5;<25;Cancelado;C;3500;3;ALQUILER;EDUCACIÓN;N;ACTIVO;M;4
>74;4k_to_6k;3k_to_5k;25y_to_50y;12p_to_18p;20k_to_50k;20_to_40;5_to_10;<25;Cancelado;C;10000;4;OTROS;SALUD;N;ACTIVO;F;1
50_to_75;6k_to_8k;>10k;25y_to_50y;6p_to_12p;20k_to_50k;20_to_40;<5;25_to_30;Cancelado;C;5000;4;ALQUILER;PAGO_DEUDAS;N;PASIVO;F;3
>74;4k_to_6k;3k_to_5k;<25y;<6p;50k_to_100k;<20;5_to_10;<25;Cancelado;C;4000;3;HIPOTECA;PAGO_DEUDAS;N;ACTIVO;F;3
30_to_50;1k_to_4k;3k_to_5k;25y_to_50y;6p_to_12p;50k_to_100k;<20;<5;<25;Cancelado;C;7000;3;HIPOTECA;PERSONAL;N;PASIVO;F;4
50_to_75;4k_to_6k;<3k;25y_to_50y;12p_to_18p;20k_to_50k;20_to_40;5_to_10;25_to_30;Activo;D;11000;2;HIPOTECA;MEJORAS_HOGAR;N;ACTIVO;F;4
30_to_50;1k_to_4k;5k_to_10k;>50y;12p_to_18p;<20k;20_to_40;5_to_10;25_to_30;Activo;S;6250;2;ALQUILER;EDUCACIÓN;Y;PASIVO;F;1
>74;4k_to_6k;<3k;25y_to_50y;>18p;20k_to_50k;<20;<5;<25;Activo;C;5000;2;ALQUILER;SALUD;N;ACTIVO;F;1
50_to_75;1k_to_4k;<3k;25y_to_50y;<6p;20k_to_50k;<20;<5;<25;Cancelado;C;4000;2;HIPOTECA;PAGO_DEUDAS;N;ACTIVO;M;5
30_to_50;1k_to_4k;<3k;25y_to_50y;12p_to_18p;20k_to_50k;20_to_40;NA;<25;Activo;C;7000;3;ALQUILER;PERSONAL;Y;PASIVO;F;3
>74;8k_to_10k;>10k;25y_to_50y;12p_to_18p;50k_to_100k;20_to_40;5_to_10;<25;Cancelado;C;14000;3;HIPOTECA;PERSONAL;Y;PASIVO;F;1
15_to_30;1k_to_4k;<3k;25y_to_50y;12p_to_18p;20k_to_50k;<20;<5;<25;Activo;C;4000;3;ALQUILER;MEJORAS_HOGAR;Y;PASIVO;F;3
>74;>10k;5k_to_10k;25y_to_50y;6p_to_12p;50k_to_100k;<20;5_to_10;25_to_30;Cancelado;C;5000;2;HIPOTECA;MEJORAS_HOGAR;N;ACTIVO;F;2
50_to_75;4k_to_6k;<3k;25y_to_50y;6p_to_12p;20k_to_50k;<20;5_to_10;<25;Cancelado;C;5000;3;HIPOTECA;PERSONAL;N;ACTIVO;F;3
>74;4k_to_6k;<3k;25y_to_50y;6p_to_12p;20k_to_50k;20_to_40;5_to_10;<25;Cancelado;C;10000;2;HIPOTECA;PERSONAL;N;ACTIVO;F;0
50_to_75;1k_to_4k;<3k;25y_to_50y;6p_to_12p;20k_to_50k;40_to_60;5_to_10;<25;Cancelado;S;18000;2;HIPOTECA;EDUCACIÓN;N;ACTIVO;M;0
>74;>10k;<3k;25y_to_50y;6p_to_12p;20k_to_50k;20_to_40;5_to_10;<25;Cancelado;C;5000;3;ALQUILER;EDUCACIÓN;N;ACTIVO;F;2
50_to_75;4k_to_6k;3k_to_5k;25y_to_50y;6p_to_12p;20k_to_50k;<20;<5;<25;Cancelado;C;6700;3;ALQUILER;PAGO_DEUDAS;N;ACTIVO;F;4
30_to_50;1k_to_4k;3k_to_5k;25y_to_50y;6p_to_12p;50k_to_100k;20_to_40;<5;<25;Activo;C;23000;4;ALQUILER;MEJORAS_HOGAR;N;ACTIVO;F;1
>74;4k_to_6k;<3k;25y_to_50y;6p_to_12p;50k_to_100k;<20;5_to_10;25_to_30;Cancelado;C;7200;3;HIPOTECA;PAGO_DEUDAS;N;ACTIVO;F;3
